aabasu	nombre de hombre
los	intestinos
los	jukkatutikkwi
los	juventud
los	kajwaruunisa
los	kanti
los	keera
los	maíz de rmarillos
los	n cultivos
los	palma ble
los	pequeño tamaño
los	perrito
los	plantas
los	rostro
los	rujgakanta
los	saíno f pecari tajacu
los	sdel mundo
los	secreciones del oído
los	seragkwa
los	snovemcincius
los	sobresaliente de un cuerpo
los	sombra no humana
los	sri boca del estómago
los	tajdikra
los	ternura
los	tign nom thera mafufo
los	tobillo
los	toro
los	tuutawa
los	v g ututikkwisu
los	varios árboles adultos de
los	vg biladuggra cóccix
los	vw
los	wipproro
los	y syuniriva
los	yoorotiirini
baarbaka	barbaca
baarbaka	malva
silves	nidoscolus urens
silves	tre malachra alceifolia
bee	adverbio indefinido de lugar
bee	añña
bee	biikra
bee	dichooro
bee	dichorittu
bee	intg dónde
bee	kwitta
mor	beekara gutteekaya
mor	ticmpo
per	animales gaggwamata
per	arriba
per	asado ib ojni kwaana
per	asar arriera
per	bes noctar
per	c yaau
per	colarse
per	con esivo
per	con osesivo
per	ittakwa del oriente jagka
per	l singular
per	la comido
per	lel plural
per	maluco
per	padre ette
per	periquito
per	plural
per	si hubiera habido comida
per	specialmente europeos
per	va sonas
per	wiiyal sonas
beekara'	cabo de hacha
bes	como
bes	desaparecer
bes	desvanecer
desapa	las
hue	balones
hue	comida cos uggutakri
hue	dejar
hue	e kwakwagoti no vrb
hue	nos cos como huevos
hue	significar
hue	tinajas
widegga	por donde quiera
widegga	vara de león
beesa'	bejuco pela pela
guái	aproximadamente en mayo
desa	significar
sen	dejar
sen	o del oído
sen	ss
sen	tidos
sen	vrbint en parir
bej	no
bej	wa wi ra
biser	gozar de bienestar
biser	vri estar bien
pobla	n joven
agra	ble apariencia
agra	refiriéndose a una rsona
prospe	cé
prospe	lad
ani	alargándose
ani	ales
ani	andar
ani	brakk males
ani	caldero males
ani	com un objeto largo
ani	cosas
ani	cosas de aspecto feo
ani	descuerar
ani	desgra mel kwakwagoti
ani	ensortijado
ani	flexible pigawxa
ani	largo
ani	les
ani	les grandes
ani	los machetes
ani	males
ani	objetos lejanos
ani	objetos macizos jassakati
ani	objetos macizos jassakatimata
ani	plantas
ani	rabo de iguana
ani	tua males
pros	ridad
figura	ardita
figura	bija
figura	caney
figura	kreex
figura	palma
biikra'	ardita
bii	biikrananta
bii	biikunanta
bii	kragorí
bii	krananta
bii	ss kragori
bii	ukk tikkwi
biilu	mico
pri	alowatta seniculus
pri	mate alouatta seniculus
pri	mate cebus albifrons cesarae
pri	simón
scorpici	e des
biiti	n punta
biisakra'	y camajón
ape	mana
gee	awaluitu
gee	cerdo verdadero
gee	miitu
gee	reesa ennaka
gee	s prést
gee	saajino
gee	wuda
sudes	ino final
espe	e hongos biggcña
espe	groonto
espe	gwragga
espe	miiwiti
espe	puerco
espe	rtuga kinosternon
espe	thag asustarse
espe	to
espe	todirostrum ni ad riceps
espe	wiña
arc	adverbio indefinido de
arc	bric mucho
canti	bre dad
canti	cón dad
ale	arroyo profundo
ale	cé
ale	pet
ale	y satistacción
adver	bijlaul v
adver	bioindefinido de negacióndecantidad
adver	nadic
adver	ni bikki
bijlad	ni cuánto
owe	cuántos hijos tienes
owe	ruku mpli st puerco
degga	a toda hora
degga	en todo momento
biiye'e	nom recoger
des	amientos hacia el occidente
des	arc tino final
des	armadillo
des	armadillo moján
des	bajar cl ánimo
des	cansar
des	casacaminata zoo yuniriya
des	cé
des	dasypus novemcinctus
des	dentado dasypus novemcinctus
des	departamento de llena
des	desdicha
des	desestimular
des	dicha
des	el papel
des	equív
des	especie uurudero
des	g grago nara kiirikiiriwa
des	generalmente de naturaleza rimal
des	likicwa garrados
des	linwiyera
des	liter nuestra madre
des	llo moján
des	mes
des	mimar
des	mocida
des	nuestros
des	quiv
des	ra ri sas
des	reposar
des	rula
des	sutti
des	vrb
des	weaniani
lun	carne de monte
lun	guartinaja
feme	carne de cu monte
genita	un les femeninos
lum	handroanthus billbergis
marital	nte
binniki	binnikika kaaga
binniki	chinchilin
binniki	cómo amanecimos
binniki	cómo estás
geni	gusano del maíz
geni	tales masculinos
ittiva'	pechuga
ittiva'	pescuezo
ittakra	pecho
tranquillita	tis de la luna
apófisis	chacha
bitt	puerco
domes	cryp tica
domes	ponche
domes	simón
domes	sut ciert suusu
hydrochae	mana
hydrochae	saíno
bila	mana
bila	saíino
geerawa	cerdo de la selva
yrosu'	bituaya
nsukwekkwe	leopardus pardalis leopardus wiedii
nsukwekkwe	tigrillo
bou	bledo
bou	polvillo
típi	bledo blanco
bojnika	vrb
erythro	canto
erythro	kochere
erythro	lazo
erythro	us
cuen	an fincas
cuen	bosques
cuen	cultivos
constela	el cinturón de orión
constela	iones
constela	pozos de agua
bragoti'	ef
bragoti'	rebajar
espa	a mí
espa	acá
espa	ciales
espa	de su lado
espa	del lado de él
espa	iales
espa	la prin sowenikki
braa	bra trb
braa	braate brate vrb
braa	clasificador
braa	clasificados
braa	falta de
braa	impar
braa	muja a jm jos
braa	na b
braa	otro
braa	refiriéndose a extensiones
braa	refiriéndose a extensiones espaciales
bra	bee í
bra	brabrada
braate'	num bra uno
braate'	refiriéndose a extensiones
owi	agrupar
owi	ecutaruna acción premeditada o
owi	paujil
owi	piar
braateriya	reunión
num	cinco
num	dos
num	ef
num	num cinco
num	objetos de form desgarrados
num	plantas
num	refiriéndose a trozos
num	refiriéndose a árboles
num	refiriéndose aextensiones
num	tres
com	br pletitud
com	caldo de sal
com	caracol de palo
com	nompli ce k dueño
com	objetos ung planos
com	refiriéndose a seres
com	tiva pletitud
cau	chirrío
cau	coquetear
cau	provocar
cau	retar
brebremata	h adj fan ronchudo
árbo	ven les
árbo	weetokranta
bree	kwa
bree	objetos grandes
bree	refiriéndose seres humanos
bree	riéx macizos
bree	yac animales grandes
obj	vrb hilar algodón
breew	refiriéndose a un
breew	vrb yacer acostado
refi	adassi mpr ést bogotá
refi	animales
refi	animales fon grandes
refi	aparatos
refi	ata jompr rést bogotá
refi	boa
refi	c plantas
refi	capital de colombia
refi	dose a seres humanos
refi	e riéndose a animales
refi	el maíz
refi	flexibles
refi	habitaciones o calabazas attiteycemekenta
refi	iéndose eventos extraordinarios
refi	los los de maíz
refi	los machetes
refi	macizos
refi	ndose a animales
refi	objetos
refi	objetos largos
refi	objetos largos y
refi	objetos macizos
refi	oblongos liteyeemekenta
refi	ose a obretos planos
refi	ovalados como las tortugas
refi	plantas
refi	puerco
refi	quiv buwada
refi	riéndose a máquinas
refi	sapo con cuernos
refi	stos macizos
refi	tendose a casas
refi	uiv
refi	ñ riéndose a seres
breekriga	vrb
ver	iba lo
ver	los costales
ver	pasaba iendo
breekwa	vrb
refirién	a seres humanos
refirién	an máso
refirién	animales
refirién	animales grandes
refirién	animales y
refirién	cañaguate
refirién	cocuyo de monte
refirién	cualidades
refirién	dose a objetos
refirién	flexibles wiimari
refirién	grupos de objetos
refirién	imales
refirién	impl rést caballo
refirién	jctos redondos o pequeños
refirién	las culebras
refirién	lose a objetos
refirién	nom dose a animales
refirién	obgwaagu jetos
refirién	objetos
refirién	plata
refirién	rayanta im srillo
refirién	tigre
obje	bajagua
obje	dolor mu wecriya
obje	gavilán
obje	gavilán grande
obje	macizos
obje	vrb tos grandes
rela	ente corto
rela	machetes
rela	tivamente esféricos
rela	zos de madera
bre'gamata	tier vrb
lar	cé tii
lar	desmigajar
lar	elgados como las cuerdas
lar	grillo cebollero
lar	im gos
lar	los
lar	oblongos
lar	tes gos
lar	tiinti nitti
lar	tiirin gos
lar	tiranta
lar	y nom tiisa
lar	y oblongos
casi	dtr num todo
casi	todos
grisá	gabriira vilán pequeño
fuer	iximadamente a finales de
brii	ar
brii	clasificador
brii	clasificador ma macondo
brii	e uerpo pequeño
brii	ef
brii	falta de completitud
brii	imp tcycemekenta
brii	kweckkwe
brii	l acuáticogiiya
brii	macizo
brii	pl bol
brii	reemekenca jm so
brii	refiriéndose a animales grandes
brii	tos grandes cóncavos
brii	yori
brii	zf
gran	c des
gran	calderos
gran	cóncavos
gran	cóncavos como las ollas
gran	des felinos al olfatear
gran	ef
gran	huecos como calabazos
gran	huecos como las tinajas
gran	las ollas
gran	les
gran	los
gran	mico
briiyori'	ane gosta
briiyori'	como un boligrafo
brikki	ad adv se atrás
brikki	detrás
brikkianna	no vrb
depen	di diendo del contexto
pequeño	no tamaño
bujes	carauta
culti	ce vrbtrs bujm estrujar
culti	kkiitikk vadas
bru'guti'	dj enizo
solana	ae solanum sp
bujna'	num mu dos
bujna'	refiriéndose a seres humanos
bukka	yerno
equ	currucuchú
lia	añ
lia	but ratón heteromys anomalus
lia	currucuchú
lia	mc
lia	pigurars bukkachu
lia	ps d
lia	zorro chucho
buti	yaya
fami	bot hiaris
fami	espec lia apodidac
fami	idac
fami	ixodowdca
fami	licidac
fami	liter cueva lo
fami	oso
fami	primo
fami	tamento de la guajira
aconsejar	amonestar
butt	persuadir
butt	r amonestar
butt	recomendar
butt	vr aconsejar
buul	departamento de
buul	ette butteriya
buul	nc pensamiento tradición
magda	buurukakkratari
magda	lena
magda	lena aarajakkratari
magda	morrocoyo
magda	muula
wiicha	culebra
wiicha	lc ya owi jii
wiicha	wiichayaowi
wiicha	yaowi
wiicha	yxo
baul	buttetuwi p vrb
serpien	n tes
sinextre	mapaná
sinextre	planta mapaná
buuru'	burro
buuru'	jaal
buuru'	mare
buuru'	mare nubium
fri	oris de la luna
rajooni'	a jmpl rés mula
rajooni'	burro
rajooni'	cruce entre caballo
rajooni'	nón mula
rajooni'	raasonti
uttu	zarigúeya didelphis
uttu	zorro chucho
nokentawen	cuándo vuelves
buurama	cuando quiera
buurama	nom buw riñón
buurama	siempre
buurukakkratari	vr s nom
aara	ari
aara	bofe
aara	buurukakkratari
aara	carito
aara	cintur kassakwa
aara	cé
aara	diitake anat wakkani
aara	diitake kwcerini
aara	koggo wakkani
aara	mojarra cabeza de piedra
aara	yerna
chaa	cómo
chaa	modo o naturaleza
chaa	qué
chaa	y por qué
chaa'	fuego
kutte'	antes de ayer
chapau'	nombre de hombre
cha'mi	por qué no
chee'	dinero
che'luda'	rabón
che'raare	ganglios
chiicho	chicho
chiicho	chimila
chiicho	chiquita
chiiso	chiso
chiiso	chiva
chiiso	venado
cervi	mazama
cervi	q dae mazama americana
goua	chivo de la selva
hii	chivato
hila'	ad de color amarillo
hila'	ef chograww
okkra'	sietecueros
chokkrikwa'	chucha fría
chorotto	ardita
mchoroto	ardilla
manan	ales de agua
chorti'	hiel
cho'go	cortar objetos largos
cho'go	las lianas
cho'goti'	mochar
kattu	decra
kattu	dl kwadeera
kattu	sooweda buurari
kattu	sooweda decra
kattu	sooweda deera
cho'la	pecho de tigre
chuj	monstruo caníbal delas historias
tra	adv bajo
tra	ati
tra	dicionales
tra	pa dicionales
tra	tato
tra	urabaja
tra	yecto
daggwra'	carito
humanoi	des
daijua'	nombre de mujer
daj	nariz
daj	refiriéndose a humanos
dajjogra'	arepo
dajjogra'	verbena
dajsonti'	prést
reci	dosc ale piente
reci	le
reci	nte
reci	objetos largos
reci	piente
reci	refiriéndose a seres humanos
reci	sientes taakwateycemekenta
reci	tos man animales
dakka	infección
dakka	pus
dakkrawa'	mochilera
robin	mi
robin	zorro chucho
marsupia	lis
dappi	avanzar a saltos
dappi	generalmente
dappi	pr saltar
nappi	avanzara saltos
nappi	generalmente
takri	saltar hacia arriba
ppigri	salirse del corazón
fígurars	paletilla
dee	manteca
dee	mazamorra
dee	no he comido
dee	panela
dee	por eso tengo hambre
wii	ada
wii	calor
wii	cuñado
wii	fl vrb
wii	haya owi
wii	no
wii	sila
wii	sorra
wii	ustedes venden panela
wii	wiisimagka
deeyune'	a vrbtrs mentar
deeyune'	burro de metal
deeyune'	suegro
dig	cuchillo
dig	mazamorra
dii	ke ta maana
dii	koggo kwekkwe
dii	m nombre de mujer
dichiru'	nombre de mujer
did	ardita
gakakka'	chicha
gakakka'	durante el día
gakakka'	hormiga arriera
dista	cerbatana
diisisiakra'	cerbatana
can	aguas explayas
can	colador de totumo
diiy	aguas grandes
maana	ad vrb
maana	agua que asa
teekri	agua reposada
teekri	aguas profundas
teekri	explayada
teekri	jagúey
'kekakka'	recipiente grande para agua
'kekakka'	timbo
aidiitake'	agua celeste
aidiitake'	gua lluvia
kakka	nubarrón
kakka	nube argada de agua
kakka	temporal
maawi	agua cristalizada
dij	diente
insec	tos
dih	encía
dih	muela
din	corazoncillo
din	raicilla
kaj	arc braganisa
kaj	bri
kaj	casearia sp
kaj	crabri
kaj	dassi
kaj	gee
kaj	horqueta dekaj jeenoya
kaj	paagwa ittiya
kaj	raasog
kaj	raasonti
kaj	rakkwata
kaj	ssara
tukkwawe'ya	dentífrico
ukka	sin dientes
departa	al mento del cesar
departa	kiter martica
departa	luci puyo delaf martica
departa	mento de magdalena
departa	nento de cesar
departa	tign mento de magdalena
departa	ualiwal mento de magdalena
purpuras	cens purpurascens
purpuras	nba
purpuras	si pls iguana
hincar	tootuttusu
dittu'	escarabajo serrucho
dindin	brincar el pellejo
convulsio	brincar el pellejo
diwanna'	arriba
diwanna'	del lado de arriba
di'yoo	dios
dom	vi doj e vrb
deca	e poda
deca	ingresar a un recinto
deca	okko na bint ntrar
deca	padre de los tte
temporada	de trabajo
donna	el verano ya empezó
donna	el verano ya entró
doo	malo
doochito	diosito
dookowakra'	tamarindo
dujt	echar
dujt	tamarindo silvestre
dooro'	ni nom
decan	timplora
sobresaliente	igura dooro
ranakaariwa'a	c haariwaa
ranakaariwa'a	ereza
escu	lenta
escu	mia
dukkruwakra'	guanábana cabezona
squa	al mosa
dukkwakwekkweda'	chicharrón
árbol	a confund fissan concha
árbol	a garrote
árbol	avewipproro myiarchus tuberculifer
árbol	beckra brosimaum alicastrum
árbol	becwanisa
árbol	beza tissakra
árbol	biisakra sterculia apetala
árbol	cadillo
árbol	calabazo debot cuggrawa
árbol	calabazo deikkawa
árbol	camaleón
árbol	canaste camajón
árbol	canoa
árbol	cañamana
árbol	cerbaran semilla
árbol	cha en polvo abrubronta
árbol	chaparro kajmaj
árbol	cho
árbol	cocuelo
árbol	daggwra enterolobium
árbol	de burro moogowa
árbol	desnudo ñaabri burserasimaruba
árbol	dukkruwakra annona purpurea
árbol	dukkruwatutikkwi anmnonasqua pelli mosa
árbol	ei
árbol	fruto bot debiisawa
árbol	fruto debeewa
árbol	gaawi
árbol	guasale
árbol	hamaca kraa
árbol	iira
árbol	ittu
árbol	jarikati
árbol	jiira vitex cymosa
árbol	joonti centrolobium paraense
árbol	jootikarawakra elicoccus oliviformis
árbol	kaaramokwarakra licania arborea
árbol	kajbussara caesalpinia ebano
árbol	kajkakkeri
árbol	kajromoroti acacia macracantha
árbol	kajruuruti platymisciam sp
árbol	kalloti wittmackanthus
árbol	konnckra zanthoxylum
árbol	kuunsiwakra hymenaca
árbol	kwaati cavanillesia platanifolia
árbol	kwraarati
árbol	lechuza
árbol	liinta lintatuwa
árbol	maalabo
árbol	maalapu ka pterygota excelsa
árbol	majagua
árbol	majnakuumisa
árbol	manta kooroda liitake
árbol	myiarchus
árbol	n kkc
árbol	p amut myiarchus tyrannulus
árbol	pappuwa
árbol	pseudobombax septenatum
árbol	rcc gaggwwwra igkiln
árbol	ri
árbol	semilla de
árbol	sume ojoso
árbol	tiichakra ceiba pentandra
árbol	tiukra melicoccas
árbol	tuggraya pseudobombax man septenatum
árbol	tukkra guazama ulmifolia
árbol	tunnuruwakra lecythis minor
árbol	vr acacia glomerosa
árbol	wanisa
árbol	wigpilo
duus	canilla de venado
duut	así pasé mi día
pundungo	tamandúa
mexi	cana
mexi	inón
mexi	oso caballo
duutikra'	soana
dendro	cida
dendro	danzar
dendro	nt r
duutitu'	pequeño tamandúa
'guayacan	cito bulnesia arborea
anti	trago del pabellón auricular
eegowaya'	cocinero
comu	nales
eekawi	alimentar
eekawi	prepararle a alguien los
ali	mentos
ali	mentos cocidos
ali	que
eeko'	alimentar
eeko'	cangrejito
eeko'	prepararle a alguien los
eekowaya	ponchera
eero	gallineta
ejku	n frondoso
ejme	vr allá
ejni	ai sangre
asen	miento
asen	timiento
asen	vrbtrs tostar granos
alinterlo	bien
alinterlo	tte im otro
aspecto	dado
ekuna	moka ekuna piirogoye
ekuna	v nida ekuna jeetikade
ejk	propio
repre	gru sentativo
nas	de q toser
nas	gi de
huma	animales
huma	antiguos
huma	armad dos
huma	aves e instrumentos musicales
huma	gente de an
huma	os
huma	otros indigenas
huma	pa
huma	peniento indígena
diferen	los ette
diferen	tes especies puma yagouaroundi
ette	indios
ette	la gente nueva
ette	país
ette	región
gaabra	bonisa pceñu
gaabra	cera de abeja
gaabra	pecña
gaabra'	jo
gaabra'	tigre
gaanchu'	armadillo
gaapu	cigarrero
gaapu	ovejero
cuca	rrón del orden coleoptera
gaasa'	garza
gaatu	sobrina
gaatu'	bodoque
billber	gi
gaau	bocona
gaawa	gaiw vrb
gajbr	suegra
gaggwra	raicilla
gate	bracito
gaggwawa	ad gatti
hor	btrs rciar
hor	caminar imar gukkwa
hor	kitari
hor	ll ca btrs ejar
hor	mangle
hor	n kajnoorowa nompl municaca
hor	palo de agua
hor	prést carnero
hor	ttiwa wi btrs rciar
hor	weenta é
depar	t tamento de magdalena
depar	tamento de magdalena
depar	to de magdalena
gayiwa'	hormiga candelilla
gata	sobrino
giip	alacrán
cul	guerra
cul	las
gite	españoles
gite	guerreros
tradicio	antiguamente cubierta con
tradicio	juk nales
tradicio	rales
rawatuttu	mana
kan	awx
kan	mit reesaennaka
kan	saajino
kan	tapaculo
kan	tuuda
her	cé
her	ef
her	el hermanito ni madre
her	isa isa mosa
her	mano
her	nana
her	nano
her	oorisu
her	s maññar
her	sentari
her	yere ere
reser	soino
apagar	extinguir
apagar	tabacos
apagar	tizones
grai'gra	blanco
voga'a	aguantar un peso
voga'a	cargar
voga'a	soportar
voga'a	sostener
vokaa	hartarse
ookwa	resistir
ookwa	tener aguante
vonto'	morrocogo de agua
vonto'	tapaculo
scorpioi	des
vontu'	morrocopo de agua
vontu'	tapaculo
apo	kr yado
apo	yado
pigura	oy
pigura	zx
grugga	desviarse
kkwi	vrb
grutta	respeto
grutta	seriedad
grutta	solemnidad
grutta'	adulto
grutta'	magor
gruuchakkwi	adulto
gruuchakkwi	anciano
gruuchakkwi	señor
gruu	en taya
gruu	respeto
gruu	takakkwi
nuke	blando
puta	mayor
puta	señor
respetar	equív
respetar	honrar
respetar	reverenciar
gugga	abastecerse
gukkwa'a	gu retirar
gukkwa'a	quitar
gunta'	adj desnudo
gutta	gu amanecer
ski	arriba
gutteriya	dl morada
gutteriya	lugar para pernoctar
gutte'e'	de pernoctar
gutte'e'	pasar la noche
guttita	imp
guugu'	jechar
fru	el melón
fru	el totumo crescentia cujete
fru	la patilla
fru	tos como la papaya
'su'	nombre de hombre
raaka	vaca
raakwi'	camaleón
raanala	refiriéndose a objetos planos
rajbri	bujío
rajbri	dormilón descuidado
gwajgati'a	exterminar
gwajgati'a	gwajgo
gwajgati'a	matar
gwajgowaya'	nu nom
gwajgowi	socolar
gwe'	rana de monte
gwraa	amujna jm os
gwraa	piecito
wraa	cé
wraa	falta de completitud
wraa	impar
wraa	otro
desyerbar	con las manos
gwragga'	flor de tierra
ase	contr deroso
ase	serenar
gwrajowi	curar con plantas
pecu	liar
pecu	premeditada
gwrakke'	pasto
gwrakkebru	chirrio
brakka	gr bra
diitake'	sangrijuela
gwrakkeru'	granadilla
gwrakkeru'	municaca
gwrakkeru'	palo de agua
kajnoo	romper monte
kajnoo	tirar
kajnoo	y wa
ra'wragoti'	desmenuzar
mano	tear
reerc'eya'	derecha
reerc'eya'	lado derecho
multi	bre plicidad
multi	cllos dijeron
multi	ene plicidad
ificador	brazo
gaa	acostarse en una hamaca
col	ciertos animales arbóreos
col	gado
col	refiriéndose a seres humanos
gaagawi	casarse
gaagawi	guindar
comprome	terse maritalmente
gaagawilri	colgar en lo alto
gaage	lagaña de perro
luciér	casarse
luciér	guindar
gaagri	estar colgado
gaagri	objetos
gaagri	refiriéndose a animales
gaakati'	glúteos
gaakati'	nalgas
gaala	mofar
gaanage	enfrentarse cuerpo a cuerpo
gaanage	pelear violentamente
gaaneriya	lugar para pernoctar
gaaneriya	morada
gaapagga'	gatopardo
leopar	dus pardalis
leopar	leopardus wiedii
gaari	alto
gaari	gari goo adj vrb
gaari	grande
hace	mee estar colgado balanceándose
gaawina	gwaaga nadar
sagg	animales
fles	contestar
fles	de pa responder
gakwitta	i vrb
clasi	a los chicharra
clasi	kraakweeri
clasi	macizo
clasi	pequeño
clasi	po grande
clasi	rca grande
clasi	és ficar
ficador	ina que se
ficador	inal que se
ganta	gen cls suf
pronombres	gativos
pronombres	gatizos
pronombres	gusa males
pronombres	interrogativos
pronombres	lwara ammarawe taukara inmiti
pronombres	mana bejsaara
pronombres	managkre kike
pronombres	monteador
pronombres	negativos
pronombres	no duermo bien
pronombres	per
pronombres	re
pronombres	relativos
pronombres	terrogativos
pronombres	vos
noso	os vivimos
kenne	gkrete
kenne	nosotros ya comimos
kenne	yumm keya
iggroori'	hormiga negra
iokra'	yuca
bru'	gusano de la yuca
car	in thaginensis
car	nnensis
ennaka	chicharra
ennaka	nom contrapietra
ennaka	variedad de yuca tradicional
iglorabribri	nom vástiga
kiti	aceituno
kiti	ro
wakra'	chiva
ikka'	bonga
ikka'	ceiba bonga
seppa	barbul
seppa	pacopaco
ko'	puya
kokra'	chicho
glo	zarza blanca
glo	zarza roja
ikwa	bejsumunnaa
ikwa	tú eres
narracio	imina weewi lun aqu
yuu	diitake dokkwi
yuu	v g inane liter
men	den nosotros
men	naaregowiti
men	roosau
habla	eagasaleka
habla	enlengua indígena
habla	ensangrentado
singu	estoy llorando
singu	isauka guuri
singu	se sufija a
singu	tú eres el mayor
isaukara	fi pron d
del	bittalorakccra
del	camajón sterculia apetala
del	cañaguate
del	de la lluvia briikanakkenisa
del	dukkwakikkra
del	esparcir achiote
del	gaggwrakikkra
del	gaggwratowa
del	guasale
del	hacha
del	iro
del	jaakratoro
del	joññokwakra
del	kattukwadaggera
del	kon dedo anular
del	krooei
del	kuwimanta
del	mismo sexo
del	mundo humano
del	muru isa ita
del	numirintala
del	o de arturo jiirara
del	parentesco
del	rio
del	siudakra phaseolus vulgaris
del	tabrakka
del	tío
del	tío conejo
del	uklra occipucio
del	verde akkwabot nisa
del	véanse guras
del	wiisawi
del	wissa
del	yaaula
del	yama duusa duusa
del	ñ iris wisa
tie	rra
itrik	tierra plana
ittik	llegar
ittik	p arribar
radajada'	llena de uijarros
radajada'	peña muerta
radajada'	tierra rocosa
itti	borrachera
itti	desierto
itti	majagua
itti	ti ittibrajga
siphonap	ittilke tera
uutu	loma
uutu	vol n ver tierra
varón	l blante una mujer
varón	liga
como	alacranes
como	b ye yowaya
como	ciempiés
como	grillos
como	tiigruti mantis
jaa	estante
jaa	num
jaa	takawa
jaa	zarzo
jaachoteru	achotero
aagawi	monteador
jai'	avispa vaquera
aajgawi	retirar seres malignos mediante
jaakra	bocona
jaakra	cabeza
jaakra	falta de
jaakra	impar
jaakra	krateu om calvo
jaakra	kratoro nom occipucio
jaakra	otro
jaakra	paakraputtu nom calvo
jaakra	plantas
jaakra	porción posterior y
jaakra	refiriéndose a árboles
jaakra	sardinita
mayoría	arbustos jaa
mayoría	de árboles
mayoría	palmas
mayoría	plantas cultivadas
jaakramaajna'	ef
jaakramaajna'	plantas
jaakramaajna'	refiriéndose a árboles
jaakramaajna'	v num tres
krate'yeemekenta	num cinco
krate'yeemekenta	plantas
krate'yeemekenta	refiriéndose a árboles
completi	plantas
completi	refiriéndose a árboles
completi	tud
protube	rante de la cabeza
cwagowi	pagar
ser	ente mastigodryas pleei
ser	ij
ser	jottokaa
ser	ku clasificador
ser	kwi clasificador
ser	pagar
ser	refiriéndose a
ser	tj
ser	wii
ser	wiina
cerca	hamaca
jaame	venado
jaane	adj encima
jaane	sobre
sor	cla presao animosidad
sor	ct cantar
sor	dela presa
sor	perf presa
sor	refiriéndose a las aves
sor	trinar
sor	vrb
lamen	santiago
jaasal	adj del hervido
pad	cas peces
pad	ef
pad	no nadar
pad	refiriéndose a seres humanos
blo	mosca real
jaarinaka'	mosca real
culi	calabazos
culi	cubiertos
culi	dos como ollas
culi	os
culi	pocillos
ocu	akwrekkwari m erío
ocu	conjunto de varias casas
ocu	pue
lil	burros
lil	caballete
lil	estante
lil	zarso
jaawug	jabón
indus	rob trial
neya	adv arri enseguida
neya	inmediatamente
jaz'nappigota	vrb
asesi	asolar
asesi	exterminar
asesi	jaike nar
jachukwa	vrb
cer	ant cano
